name,category,quantity,price,supplier
Office Chair,Furniture,27,604.55,Acme Corp
Denim Jeans,Clothing,26,61.76,Global Imports
Smartphone,Electronics,62,121.38,Sunrise Wholesale
Fantasy Epic,Books,112,99.1,Peak Distributors
Self-Help Guide,Books,70,32.9,Evergreen Supply Co
Baseball Cap,Clothing,45,105.11,Elite Traders
USB-C Charger,Electronics,14,459.69,Prime Retailers
Raincoat,Clothing,37,130.97,Universal Goods
Nightstand,Furniture,14,124.06,Quality Merchants
Bar Stool,Furniture,38,186.94,Downtown Suppliers
Kite,Toys,141,26.24,Citywide Traders
Digital Camera,Electronics,37,164.16,NextGen Markets
Hooded Sweatshirt,Clothing,57,151.44,TopShelf Inc
Encyclopedia,Books,10,66.38,Value Suppliers
Summer Dress,Clothing,79,40.26,Pioneer Goods
Toy Robot,Toys,145,20.96,Metro Retail
Patio Chair,Furniture,8,888.26,Capital Distributors
Curtain Rods,Furniture,21,991.01,Royal Supplies
Area Rug,Furniture,31,636.65,Summit Wholesale
Educational Flashcards,Toys,43,91.26,Liberty Traders
Leather Jacket,Clothing,46,97.16,Acme Corp
Bluetooth Headphones,Electronics,52,351.82,Global Imports
Bookshelf,Furniture,48,134.59,Sunrise Wholesale
Wool Sweater,Clothing,65,84.32,Peak Distributors
Coffee Table,Furniture,26,798.17,Evergreen Supply Co
Baseball Cap,Clothing,77,96.1,Elite Traders
USB-C Charger,Electronics,13,375.15,Prime Retailers
TV Stand,Furniture,16,365.75,Universal Goods
Nightstand,Furniture,33,238.05,Quality Merchants
Smart Watch,Electronics,59,419.96,Downtown Suppliers
Portable Speaker,Electronics,61,138.46,Citywide Traders
Digital Camera,Electronics,5,294.09,NextGen Markets
Hooded Sweatshirt,Clothing,49,97.81,TopShelf Inc
Model Kit,Toys,117,99.37,Value Suppliers
Summer Dress,Clothing,71,46.56,Pioneer Goods
Health & Fitness,Books,185,19.94,Metro Retail
Leggings,Clothing,85,94.26,Capital Distributors
Autobiography,Books,119,80.37,Royal Supplies
Horror Story,Books,22,59.64,Summit Wholesale
Classic Literature,Books,187,15.22,Liberty Traders
Mystery Novel,Books,133,22.84,Acme Corp
Bluetooth Headphones,Electronics,58,186.4,Global Imports
Puzzle Game,Toys,23,61.78,Sunrise Wholesale
Remote Car,Toys,69,40.21,Peak Distributors
Sneakers,Clothing,69,91.84,Evergreen Supply Co
Bed Frame,Furniture,11,292.49,Elite Traders
Silk Scarf,Clothing,39,185.26,Prime Retailers
Poetry Anthology,Books,57,44.8,Universal Goods
Webcam,Electronics,64,160.94,Quality Merchants
Bar Stool,Furniture,9,668.76,Downtown Suppliers
